date,time,cases,pop,dpopdt,beta_eff,oni,roni,beta_eff_cov,season6
1980-12-19,1980.964480874317,,4.690550804890478e6,542.9722950156147,0.8178086075233197,-0.10657692,0.17512332,0.7434879020856413,0.29109338079705865
1980-12-20,1980.967213114754,,4.691093808613603e6,543.0351524475052,0.6324113636334424,-0.10657692,0.17512332,0.7434879020856413,0.2805704735934945
1980-12-21,1980.9699453551912,,4.691636875197798e6,543.0980171561146,0.3868942611930265,-0.10657692,0.17512332,0.7434879020856413,0.2701577077673995
1980-12-22,1980.9726775956285,,4.692180004650341e6,543.1608891422852,0.3949085160597727,-0.10657692,0.17512332,0.7434879020856413,0.2598683002832191
1980-12-23,1980.9754098360656,,4.692723196978509e6,543.2237684068596,0.2251890408296284,-0.10657692,0.17512332,0.7434879020856413,0.249715468107963
1980-12-24,1980.9781420765028,,4.6932664521895815e6,543.2866549506803,0.2254872466226594,-0.10657692,0.17512332,0.7434879020856413,0.23971242820606573
1980-12-25,1980.98087431694,,4.693809770290838e6,543.3495487745901,0.2627540024039228,-0.10657692,0.17512332,0.7434879020856413,0.22987239754282346
1980-12-26,1980.983606557377,,4.694353151289558e6,543.4124498794315,0.3624093885335447,-0.10657692,0.17512332,0.7434879020856413,0.22020859308353247
1980-12-27,1980.9863387978141,,4.694896595193024e6,543.4753582660478,0.6646306067474869,-0.10657692,0.17512332,0.7434879020856413,0.21073423179348885
1980-12-28,1980.9890710382513,,4.695440102008517e6,543.5382739352816,0.6961028000309107,-0.10657692,0.17512332,0.7434879020856413,0.20146253063798886
1980-12-29,1980.9918032786886,,4.695983671743322e6,543.6011968879764,0.4813927617123307,-0.10657692,0.17512332,0.7434879020856413,0.19240670658158437
1980-12-30,1980.9945355191257,,4.696527304404722e6,543.6641271249749,0.3913211981490213,-0.10657692,0.17512332,0.7434879020856413,0.18357997659107977
1980-12-31,1980.9972677595629,164.0,4.697071e6,543.7270646471205,0.3734150428549196,-0.10657692,0.17512332,0.7434879020856413,0.17499555763100838
1981-01-01,1981.0,,4.697360431305258e6,289.44022238492477,0.4967034972420512,-0.3253568,-0.26787138,0.7376565057774466,0.16666666666666666
